track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0J2OnBNKwt0KICDyDFPUvl,The Strokes,Is This It,Take It Or Leave It,53,196133,False,0.429,0.924,2,-6.131,0,0.0406,0.000542,0.353,0.104,0.484,154.104,4,garage
7xuu4ByQkm8qhnwJQk994r,The Strokes,Is This It,New York City Cops,52,210746,False,0.522,0.853,0,-7.66,1,0.0362,0.071,2.82e-05,0.343,0.455,107.943,4,garage
15IVKRhTPXp4lKtwl568KS,Bonobo;Nicole Miglis,Migration,Surface,41,251171,False,0.559,0.613,3,-7.891,0,0.0343,0.231,3.47e-06,0.0742,0.213,109.947,4,trip-hop
0d1ujEcFwTqA4kWliTSJim,Alan Walker;Georgia Ku,Don't You Hold Me Down,Don't You Hold Me Down,66,132597,False,0.773,0.839,5,-4.046,1,0.0566,0.0276,0.00797,0.132,0.303,123.975,4,electro
2jCnjTZKgSY7aJsmN9HxvL,Matvey Emerson;Sarah de Warren;YOTO,Warning / Signs,Warning / Signs,48,155409,False,0.712,0.829,0,-8.167,0,0.03,0.0891,0.0279,0.168,0.541,121.976,4,groove
5I8DslpztOwOpwERbGGDTC,Camisa de Vênus,Batalhões de Estranhos,Eu Não Matei Joana d'Arc,47,225533,False,0.399,0.75,2,-11.185,1,0.118,0.00481,0.000483,0.0748,0.745,197.679,4,punk
4EuLUeWUGHK3BVJGBcpQah,Lilly Eaton,Back home,The lighthouse,49,172500,False,0.553,0.051,0,-29.617,1,0.05,0.98,0.915,0.108,0.717,118.668,3,piano
5DJNvfIFtPbGZNn0voXdl4,Adryana E A Rapaziada,Love Lindo,Fim de Noite,52,278626,False,0.673,0.6,8,-8.272,1,0.0319,0.234,0.0,0.0706,0.446,136.719,4,pagode
3nvu9r1uAGEI51rXIebXos,PASSEPIED,演出家出演,シネマ,21,281853,False,0.576,0.947,10,-2.754,0,0.0405,0.403,0.0122,0.313,0.656,125.024,4,j-idol
5r5Lj2MkgwQJz6TaBdL865,Cage The Elephant,Melophobia,Spiderhead,63,222813,False,0.543,0.946,2,-0.734,1,0.0454,0.00614,1.49e-05,0.106,0.547,117.962,4,punk-rock
06fRsW6JDm7WPQWrmrMak2,Lil Baby,Bad Boy Club,In A Minute,0,200470,True,0.643,0.605,4,-5.968,0,0.297,0.0336,0.0,0.112,0.145,84.216,4,hip-hop
5KETurI5XERQLOjWIlvhzF,Mavado,Careless Gal,Careless Gal,24,172872,True,0.779,0.858,1,-5.163,1,0.315,0.0175,0.0,0.0409,0.876,101.685,4,j-dance
4YFrH7oE7c35mJX3kAQbWb,#NAME?,全部、内緒。 (Special Edition),#NAME?,38,246546,False,0.415,0.963,10,-2.651,1,0.0952,0.0374,0.000222,0.0594,0.618,158.048,4,j-idol
5rQPgfJMJ7yhsEr0HwTA77,Jay Chou,周杰倫的床邊故事,一點點,46,221266,False,0.507,0.413,7,-7.49,1,0.0277,0.119,1.66e-05,0.0886,0.172,133.966,4,mandopop
17xHXgJeDJyynbXy3qoAeW,John Powell,P.S. I Love You,P.S. I Love You,53,83293,False,0.462,0.0294,0,-28.156,1,0.0481,0.996,0.939,0.0851,0.388,79.459,4,british
5NTRA9B245BLLMMttJJuPD,HammerFall,(R)Evolution,(R)Evolution,25,263592,False,0.544,0.913,9,-4.685,1,0.0441,0.000118,0.0,0.06,0.328,130.005,4,goth
4cQWpS0ShcMleOsqSg197r,Blue Magic,Soulful Spell - The Best Of Blue Magic,Teach Me (It's Something About Love),34,255133,False,0.352,0.583,7,-7.988,1,0.0438,0.655,0.000299,0.599,0.403,159.49,4,disco
1QOQdch9yOPgaUgBVyyViV,Fair Play,Moja Królowa (Radio edit),Moja Królowa - Radio edit,32,202254,False,0.695,0.973,11,-6.599,0,0.0336,0.00961,0.00266,0.0538,0.977,140.024,4,disco
5pKUJLGKZjoPiYJnQYRH9a,The Budos Band,Burnt Offering,Turn and Burn,22,344840,False,0.445,0.833,9,-7.373,0,0.0279,0.00256,0.736,0.167,0.652,116.012,4,afrobeat
1wu6GllglOU3TgzUQCUbrD,Alejo;Feid;ROBI,FELIZ CUMPLEAÑOS,Pantysito,0,240413,True,0.83,0.739,7,-5.395,0,0.0627,0.136,2.11e-06,0.162,0.631,97.993,4,latin
0PcJnxn2w1QXumkfFworqx,Boris Brejcha;Ginger,I Want You,I Want You,43,512640,False,0.797,0.678,1,-12.243,0,0.0601,0.00117,0.891,0.111,0.0379,124.999,4,minimal-techno
6O2Jt6XFudWsd01bkqRirR,Rodolfo Abrantes,O Dia Que Será Pra Sempre,Saudades de Casa,39,251333,False,0.576,0.404,7,-6.702,0,0.0257,0.793,0.0,0.0893,0.335,155.946,4,gospel
2P4OICZRVAQcYAV2JReRfj,Avicii,Stories,Waiting For Love,81,230613,False,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,4,edm
2PUWO11iqrgisht7dgTbvE,George Lopez,Team Leader,The Bike,20,321093,True,0.505,0.61,9,-15.638,0,0.91,0.876,0.0,0.752,0.345,123.735,3,comedy
1Ghb6uHFIIlDBjzKQJlv0I,Alejandro Fernández,Éxitos del Pop en Español de los Años 2000,Me Dediqué a Perderte,0,232466,False,0.578,0.471,8,-8.182,1,0.0615,0.498,1.49e-06,0.1,0.54,147.611,4,latin
2nF4CJQfTfwft6TYVYLKiI,Zaeden,kya karoon?,kya karoon?,48,200275,False,0.723,0.561,5,-8.322,0,0.035,0.642,7.11e-06,0.228,0.616,145.02,4,indian
7MquMWhil22DJ1kawvcjg7,DJ Arthur ZL;DJ Arana,AUTOMOTIVO DA FELICIDADE,AUTOMOTIVO DA FELICIDADE,44,256010,True,0.955,0.952,7,-1.58,0,0.199,0.0545,0.00016,0.098,0.365,129.919,4,funk
0tQyUsejipsHr5BEdx7wLX,Bad Bunny;Drake,Today's Party Hits,MIA,0,210367,False,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,4,latin
5nSdJRpyM8OkYOVGa5rlsw,Mr.Children,I LOVE U,靴ひも,37,262373,False,0.664,0.824,5,-5.616,1,0.026,0.0401,0.0,0.12,0.475,122.014,4,j-pop
02WpCYOVHVRDPhbkiswGmQ,Amy Samu,"Top Kids Songs: Best Nursery Rhymes (Old Mac Donald, Humpty Dumpty, Finger Family and Many More)",Alphabet - Classic Abc Song,48,43676,False,0.964,0.169,0,-20.19,1,0.17,0.776,0.0604,0.0783,0.798,110.109,4,children
6xXvAzowcCQmoKdDr1oIFJ,Amber Leigh Irish,Simply Acoustic,2002 - Acoustic,57,145056,False,0.589,0.296,0,-9.335,1,0.083,0.842,0.0,0.0736,0.611,165.799,3,acoustic
1z33QOn2Hcq9SfI5pES25L,Escape the Fate,This War Is Ours (Deluxe Edition),This War Is Ours (The Guillotine II),58,266733,False,0.399,0.955,4,-5.593,0,0.163,0.00838,0.0,0.0759,0.152,95.498,4,metalcore
7GPBOpYrsIKnvW5T6gG5hl,DJ Shadow,Endtroducing,Organ Donor - Extended Overhaul,42,268973,False,0.662,0.641,1,-8.686,0,0.0317,0.00722,0.729,0.273,0.724,110.111,4,trip-hop
27moQ0r3psO5M21kKs7NT1,Jürgen Drews,Drews feat. Drews (Die ultimativen Hits),Das ist der Moment - Single Mix,24,183000,False,0.674,0.967,9,-2.395,0,0.0381,0.0509,0.0,0.159,0.781,130.057,4,party
4wWtnRpttsyMaJBVV9ZsR7,Kathleen Madigan,Bothering Jesus,Last Call from Jail,21,194510,False,0.469,0.912,6,-7.161,0,0.733,0.779,0.0,0.86,0.309,135.928,3,comedy
4IOL6A3QMCu9MdfDYIHUJh,Fiduma & Jeca,Alcooústico 2,Butecologia,48,170657,False,0.73,0.873,4,-3.631,1,0.0507,0.563,0.0,0.178,0.878,135.031,4,sertanejo
2yOKtjrMP6TC4HANo5h7vW,White Zombie,"Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head","I, Zombie",24,211666,True,0.389,0.989,10,-6.167,1,0.228,4.13e-05,0.636,0.21,0.0627,154.377,4,industrial
6ANATkrb5PxlWimAMLZjij,Smokey Robinson & The Miracles,A Very 70s Christmas,It's Christmas Time,0,212493,False,0.504,0.587,2,-8.831,0,0.0272,0.667,0.000604,0.134,0.672,94.787,4,funk
2nSTgkvfDLV7Brzi1cYEf5,FINNEAS,The Greatest Rock Tunes 2022,What They'll Say About Us,0,181210,False,0.538,0.318,7,-13.036,0,0.0417,0.88,7.28e-05,0.116,0.0897,144.988,4,electro
7jtl5qKYmPoLn0nfLZKFHE,Fäaschtbänkler,Mitten in die Scheibe,Filmriss,29,167466,False,0.842,0.617,9,-6.981,0,0.13,0.191,7.08e-06,0.168,0.829,99.997,4,party
5fWtbgbiTz8MuAnTzzpJGN,Silambarasan TR;Blaze,Vallavan (Original Motion Picture Soundtrack),Loosu Pennae,55,411794,False,0.663,0.405,5,-11.244,0,0.098,0.485,0.000265,0.094,0.526,191.985,4,pop-film
2rRPRlVICj1TKXqPYDKNRU,Opção 3,Pensando em Você,Lágrimas Vão e Vem,45,236408,False,0.744,0.631,1,-9.586,0,0.0443,0.517,0.0,0.159,0.453,132.063,4,pagode
2q0WFOsFc7Gd9cujpPmZMC,Air,Talkie Walkie,Universal Traveler,42,262013,False,0.717,0.51,0,-12.64,1,0.051,0.829,0.125,0.111,0.403,90.99,4,trip-hop
0eNfURq0r0oNSwFyw1VuVT,The 1975,Being Funny In A Foreign Language,Looking For Somebody (To Love),72,178617,True,0.522,0.957,2,-4.924,1,0.0687,0.0515,0.0014,0.144,0.917,170.91,4,alternative
57T6aZQ0PnSL0kpHy92xuW,Dub Pistols;Seanie Tee;Chezidek,Return of the Pistoleros,Sticky Situation,18,251361,False,0.588,0.805,7,-4.603,1,0.0697,0.00162,0.000398,0.406,0.615,174.058,4,breakbeat
6Cnwfw1YmMQQMb4femS10J,Guga Nandes,Pra Não Desgrudar (Ao Vivo),Fã De Erro - Ao Vivo,49,180233,False,0.618,0.634,5,-7.793,0,0.0342,0.749,0.0,0.704,0.746,148.972,4,pagode
14VmsVz9jMLnTvc6Gtd99U,LYOD;Tom Auton,On My Way,On My Way,51,189230,False,0.649,0.762,0,-6.535,1,0.0343,0.51,2.56e-05,0.156,0.216,112.982,4,deep-house
4DRkwIkys7VdAKBp31iUT2,MegaR;Nyako,Garou Miedo Cósmico Rap. El Puño de Dios,Garou Miedo Cósmico Rap. El Puño de Dios,38,176166,False,0.535,0.877,7,-9.381,1,0.497,0.593,0.0,0.202,0.543,90.248,4,anime
36zA6m9ZvkdMoTCNsKHrGv,Frenzy;Mia Julia,Wir sind wir (Partystyle Après Ski Version),Wir sind wir (Partystyle Après Ski Version),24,201867,False,0.688,0.942,1,-2.911,0,0.0816,0.0556,0.0,0.166,0.811,138.01,4,party
4IKa5EKTmhKvV1wuTJf9Eq,Karen Harding;Digital Farm Animals,Undo My Heart,Undo My Heart,50,180419,False,0.605,0.873,11,-6.267,1,0.035,0.0352,0.0041,0.0644,0.343,122.998,4,deep-house
2R7qip8VANCHLVYsov9zbT,Tony Molina,In the Fade,Leave This Town,26,110462,False,0.348,0.21,1,-11.837,1,0.033,0.018,0.48,0.136,0.218,76.13,4,power-pop
4rpFg7vffIW6v3MLWmVWOR,Anitta,Hit After Hit,Envolver,0,193805,False,0.813,0.733,4,-5.417,0,0.0847,0.15,0.00186,0.0909,0.397,91.988,4,pagode
5SaUkLu1jwrpDjN05blpFV,Arvid Nero,Little White Dove,Woman,21,170306,False,0.7,0.371,8,-10.221,1,0.0377,0.642,0.00645,0.106,0.279,93.262,4,goth
5jkbw3FDS3bSSb4oLKYbjf,Sub Urban;REI AMI,Thrill Seeker,Freak (feat. REI AMI),70,194000,False,0.619,0.45,7,-11.965,0,0.515,0.433,0.0,0.513,0.41,179.755,4,indie
5sFDReWLrZHLFZFjHsjUTS,Alice In Chains,Dirt (2022 Remaster),Would? (2022 Remaster),73,206773,False,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,4,metal
73HnOgHf0Xw5KNvEeGBNzW,For Today,Portraits,Isaiah (The Willing),26,243146,False,0.225,0.922,7,-4.846,1,0.189,0.000319,0.0139,0.583,0.26,201.018,3,death-metal
6S8hzeDFZmsJbQCO3w97Zz,Calvin Harris;Justin Timberlake;Halsey;Pharrell Williams,Funk Wav Bounces Vol. 2,"Stay With Me (Part 2) (with Justin Timberlake, Halsey & Pharrell)",56,83736,False,0.718,0.88,11,-6.137,0,0.0351,0.0245,0.00386,0.263,0.927,126.002,4,progressive-house
0cKIahHz7lbJ2jz20uS9wf,Erasmo Carlos,A Pescaria,Festa de Arromba,35,181866,False,0.535,0.512,4,-7.343,1,0.032,0.577,0.0,0.101,0.876,145.926,4,j-rock
3j3VJZGDs46BAwByN636Ek,Hardstyle Masterz;Max Enforcer,Light Of The Dark,Light Of The Dark - The Blackout Mix,21,427340,False,0.674,0.727,6,-6.078,0,0.152,0.00394,0.71,0.0809,0.0744,148.004,4,hardstyle
5BI1XqMJK91dsEq0Bfe0Ov,Peter Frampton,On air 70's Hits,Show Me The Way,0,243266,False,0.7,0.726,2,-7.717,1,0.0329,0.436,1.11e-06,0.0914,0.64,130.11,4,british
4wOhPUptCNCCJK0OtjFzpy,DEADLIFE,Bionic Chrysalis,Deviant,43,322075,False,0.672,0.743,1,-5.0,1,0.0558,0.0377,0.000689,0.299,0.246,105.995,4,club
7fGAChEASw3sxA1TFRhPfx,Zero 7;Sophie Barker,When It Falls,Passing By,46,291040,False,0.586,0.426,0,-10.904,0,0.0242,0.357,0.474,0.0762,0.21,80.941,4,trip-hop
5kc94sZMpuzSZdbfiCr0gh,Tristam,I Remember,I Remember,53,236741,False,0.559,0.641,6,-9.4,0,0.0306,0.00595,0.501,0.0519,0.0376,109.964,4,dub
56fiFTRrSiHHH3gBeaTg2P,Slipknot,We Are Not Your Kind,Nero Forte,69,315177,True,0.336,0.978,7,-2.358,1,0.0846,0.000437,0.000525,0.138,0.496,129.842,4,metal
733hyyG8U8kxxebds98nc6,frad,First Date,First Date,62,173143,False,0.732,0.303,4,-13.575,1,0.057,0.75,0.828,0.141,0.601,82.555,4,anime
3PRbWWHsoU1qLKSSVWe7Es,Cixx,Poder,Poder,33,100500,False,0.669,0.444,10,-16.759,1,0.0427,0.0542,0.887,0.132,0.364,140.859,4,hardcore
3DmW6y7wTEYHJZlLo1r6XJ,Becky G,Shower,Shower,78,206166,False,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4,reggaeton
0Ay5YGO8RyavTXL0RQ6zU3,Håkan Hellström,Rampljus,På väg upp,26,144725,False,0.622,0.967,9,-9.248,1,0.106,0.219,0.0,0.218,0.168,123.96,4,goth
5J5VBW8G9ViJfzX5FEYvni,Tom Petty and the Heartbreakers,Christmas Eve At Home,Christmas All Over Again,0,253626,False,0.44,0.838,9,-6.196,1,0.0423,0.0956,0.0,0.473,0.619,138.908,4,singer-songwriter
3tjC9XdMwEF8KW82F6rV6f,OneRepublic,Frühstücksmusik Herbst/Winter 2022/2023,Run,0,169010,False,0.682,0.72,11,-8.173,0,0.0381,0.326,0.0,0.148,0.673,117.003,4,rock
4TaWc1aaXknZMXlHvYDBZX,João Gustavo e Murilo,Cancela Esse Cara,Cancela Esse Cara,44,155820,False,0.538,0.609,3,-5.291,1,0.17,0.385,0.0,0.0968,0.716,199.36,4,forro
2frE5dTlla9H4E71bvlQbQ,Orjan Nilsen;Fingerling,The Devil Is In The Detail,1 Like You,48,200129,False,0.579,0.753,7,-3.923,1,0.324,0.0215,0.0,0.365,0.286,127.972,4,trance
4lm6b3hJLWhtzs1N0dDUYA,サザンオールスターズ,Young Love,あなただけを ~Summer Heartbreak~,37,316800,False,0.552,0.891,0,-3.892,1,0.0342,0.0544,1.19e-06,0.223,0.746,122.971,4,j-pop
4HfNjXo5cFstSBOddIjOwT,Kevin Roldan;Wisin,Queda poco para la PAES 2.0,Deseo,0,219853,False,0.708,0.788,1,-3.745,1,0.122,0.119,1.51e-05,0.0543,0.697,178.039,4,latin
72dTSVm9IsZD0eYft7H7XV,Antonio Garcia Isaac,Elegia,Elegia,53,148000,False,0.482,0.0685,2,-22.069,1,0.0868,0.991,0.934,0.109,0.221,103.099,4,guitar
4t0UsYzmmmZRMTWn77jiGF,Robin S,Show Me Love,Show Me Love,69,252106,False,0.811,0.833,5,-4.259,1,0.153,0.014,2.06e-05,0.0769,0.567,120.258,4,disco
40et7qQsExZbORdbXtR034,Miranda!,Sin Restricciones,El Agente,36,167293,False,0.71,0.877,2,-4.921,1,0.0628,0.111,1.78e-06,0.0607,0.85,91.994,4,electronic
3dAGc0wKiD5ejsXVfEzsyT,Galaxy 2 Galaxy,Galaxy 2 Galaxy: A High Tech Jazz Compilation,Windchime,11,369720,False,0.541,0.751,0,-11.164,1,0.0278,0.0152,0.00926,0.156,0.416,130.567,4,detroit-techno
79HZAZNnOE97rb2hnI0XQr,Rauw Alejandro;Lyanno;Brray,LOKERA,LOKERA,91,195294,False,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,4,latin
1Pe3Tnahd3nNcKrTvNvNvW,Armin van Buuren,Balance,Million Voices,41,187150,False,0.466,0.869,3,-4.275,1,0.0529,0.0142,0.00241,0.115,0.185,126.113,4,trance
0aZqRkok4WsO9tZVFBI2zc,SHIKI THEATRE COMPANY,Wicked (Original Broadway Cast Recording / Deluxe Edition),Popular,32,225266,False,0.524,0.359,0,-7.664,1,0.108,0.818,0.0,0.3,0.554,177.263,4,disney
5RjeuKVacq40VvPge2iFgD,"Группа ""Загадка""",20 лучших ресторанных песен. Калина красная,Счастье мое,0,152066,False,0.497,0.227,0,-8.993,1,0.0404,0.834,0.0,0.328,0.537,123.537,4,romance
3Dz8VohgvbYkf6OS99H0vT,Bryan Adams,Weihnachtssongs,Christmas Time,0,243057,False,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,singer-songwriter
0L7Nv6ToXLRAWId4eT7DlX,Echosmith,Holly Jolly Christmas,I Heard the Bells on Christmas Day,0,182253,False,0.506,0.458,0,-7.199,1,0.0253,0.0208,0.0,0.136,0.356,79.015,4,indie-pop
3Trk97TnEvpYk1iIcR3GRq,Nucleya;Julius Sylvest;Gagan Mudgal,Bass Rani,Mumbai Dance,46,183092,False,0.655,0.892,8,-5.792,1,0.0771,0.0202,0.0917,0.321,0.486,97.01,4,indie
7bL2rZE7abxythX3EnbUnf,Julieta Laso,La Caldera,Hoy Es Nunca,18,161235,False,0.553,0.359,5,-8.708,0,0.0357,0.678,0.0,0.109,0.297,100.616,4,tango
1IyHPt3b6BrhdMwNyk0VM0,Filter,Short Bus,"Hey Man, Nice Shot - Remastered Version",66,314440,False,0.48,0.588,2,-10.773,1,0.0339,0.00213,0.712,0.319,0.305,177.018,4,grunge
2oTorCv9UquN9vZzd9ZfyB,Vadim Kozin,55 pesen o ljubvi muzhchiny zhenscinam,Tvoi glaza zeljonye,0,160733,False,0.337,0.41,0,-9.509,0,0.0339,0.989,0.0,0.39,0.486,136.286,4,romance
0wmez5LnyhrSQrmETTIoR7,Chamin Correa,"Cuerdas, Amor y Guitarras, Vol. 5",Te Llamé,21,241893,False,0.45,0.564,7,-7.616,1,0.0293,0.747,0.466,0.121,0.352,77.976,4,guitar
4UJSwhYjFagghe56JphrVD,Ratones Paranoicos,Inyectado de Rocanrol,Rock Del Pedazo,39,195826,False,0.608,0.837,1,-7.845,0,0.0371,0.00497,0.000503,0.402,0.656,118.806,4,punk
6E9UwSfT80age2xknoMS7Y,Payal Dev;Jubin Nautiyal,"Tum Hi Aana (From ""Marjaavaan"")","Tum Hi Aana (From ""Marjaavaan"")",70,249126,False,0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,4,pop
6qanMXFzVtuhvF3ptfsh4z,Mokhov,Perfect Dream,Dream Eyes,13,252307,False,0.532,0.636,11,-7.63,1,0.0341,0.00194,0.267,0.0902,0.311,155.944,4,idm
10poTYehx5Yg1W9bWNHs9D,Rebel Cats;Dr. Shenka,Rebel Cats Y Sus Amigos,Gato Rebelde,31,156213,False,0.503,0.982,9,-3.297,1,0.109,0.00317,9.82e-06,0.347,0.632,101.461,4,rockabilly
2sp5BRWoPsQsJeDX72M2tu,XXXTENTACION,? (Deluxe),Moonlight,50,135090,True,0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4,emo
3uB2mkp8ovjiuJA734dbGe,Ritviz;Seedhe Maut,Dev,Chalo Chalein,59,184370,False,0.461,0.5,1,-9.828,1,0.0614,0.00245,0.03,0.116,0.572,76.176,4,indie-pop
0w2KdhfqjParV6sqUARics,Héctor Varela;Argentino Ledesma,Serie De Oro,Moneda De Cobre,22,178893,False,0.551,0.285,7,-9.798,1,0.0863,0.884,4.15e-06,0.352,0.444,63.169,4,tango
6yK27J3dxUrVzLA5yU3QFB,Mike Williams;Felix Jaehn;Jordan Shaw,"Anímate, es viernes",Without You,0,150967,False,0.722,0.871,2,-4.574,1,0.0774,0.0201,2.11e-06,0.207,0.509,124.039,4,progressive-house
7eIt2Zma7u4u7wzfPOIWoK,disrupt,Unrest,Same Old Shit,12,35666,False,0.242,0.991,0,-3.621,0,0.0988,1.24e-06,3.3e-06,0.0398,0.0384,86.644,3,grindcore
5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,225165,False,0.633,0.299,11,-7.798,1,0.0353,0.833,0.0,0.109,0.341,147.549,4,acoustic
476V2d6iA2tWXgQboKmTtA,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),Father And Son,73,221120,False,0.495,0.326,7,-12.29,1,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,4,singer-songwriter
6IEYxC5J51Igo0XUTx16mA,Foster;Sody;Sarcastic Sounds,fools (can't help falling in love) (slowed down & reverb),fools (can't help falling in love) (slowed down & reverb),54,197857,True,0.591,0.805,0,-5.235,1,0.271,0.64,0.0,0.143,0.283,136.629,4,chill
0RnUzVJENbMYhU5Eb7xbRe,dusty dexter,Pink Waters,Pink Waters,39,119776,False,0.61,0.436,1,-14.052,0,0.103,0.755,0.868,0.0993,0.537,80.026,4,study
3monb6DDZJSxJ9fR6au4Ba,Sonny Fodera;Ella Eyre,Cardio Tracks,Wired,0,202652,False,0.7,0.764,9,-4.836,0,0.0314,0.0247,0.0,0.162,0.424,125.02,4,deep-house
55YYjT233VWZQN4jzQhKPJ,Cesare Cremonini,Tutti in piscina Canzoni per bambini,Nessuno Vuole Essere Robin,0,282756,False,0.516,0.535,2,-8.312,1,0.0317,0.601,0.0,0.141,0.247,137.985,4,indie-pop
159xvbYorYT12WDpHe8bD3,Kayzo,This Time,This Time,49,170400,False,0.583,0.946,2,-4.034,1,0.114,0.00328,0.39,0.148,0.262,149.921,4,dubstep
3iJDmx2BxUCXgjatgYfhoe,Anuel AA;KAROL G,El perreo es el futuro,Secreto,0,258799,False,0.807,0.803,11,-4.156,1,0.126,0.6,0.0085,0.136,0.706,91.982,4,reggaeton
61qds9MB7lwUKOWaEQlpxo,Turma do Pagode,Turma do Pagode XV Anos (Ao Vivo),Vish - Ao Vivo,42,174493,False,0.608,0.802,2,-5.586,0,0.0571,0.653,0.0,0.208,0.882,86.972,4,pagode
4w9kTOwILhtmSZqYRIeq68,Cajmere;Sounfx,Too Underground For The Main Stage,Move Yo Body - Original Mix,6,352989,False,0.811,0.794,9,-10.299,1,0.0522,1e-05,0.919,0.0604,0.376,120.016,4,chicago-house
3zQy3N1K8Mk5QknfFuVGNc,Spiritbox;Sam Carter,Eternal Blue,Yellowjacket (feat. Sam Carter),15,198067,False,0.451,0.981,7,-4.208,1,0.0857,0.000294,0.0308,0.318,0.325,116.231,4,metalcore
49l7EB9YdDoHd6F0uDxyc6,Captain Jack,Some Think About,Sempurna,30,189746,False,0.443,0.898,8,-4.487,1,0.0712,0.0223,0.000149,0.138,0.655,97.451,4,hardcore
2APvCb9QZJ8xZq1IDrXRKt,D.O.D,Armada Music - ADE 2022,Two Caps,1,183425,False,0.674,0.958,10,-4.764,0,0.0552,0.000951,0.924,0.0515,0.885,126.979,4,deep-house
5hZctl6Xi8xaJG8LgIZWDy,Lil Pump,Rap Party,Gucci Gang,0,124055,True,0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,4,emo
1mJPpRCeS0qBEm8T4NdhIz,Aevum,Glitch,Lullaby,20,183812,False,0.283,0.92,8,-4.303,0,0.102,5.57e-06,0.705,0.0586,0.399,74.214,4,opera
2BNJnr2IY3KaDVdOM9wnSB,Kijugo,Fly High but is it okay if it's lofi?,Fly High but is it okay if it's lofi?,47,141290,False,0.7,0.415,1,-12.962,0,0.0371,0.346,0.941,0.0967,0.35,124.009,4,anime
0s3ZpsAaVCbWxDhLq2B2wh,Fireboy DML,"Laughter, Tears & Goosebumps",Scatter,48,164000,False,0.726,0.802,11,-6.528,0,0.197,0.0428,0.0728,0.314,0.593,119.829,4,dancehall
2Z8oSkHTEJedqb1rsgpLih,Covers Culture,Chill Vibes - Just Chill & Relax - Relaxing Covers Songs - Chill Pop Music Hits - Chill Music - Chill Songs - Chilled - Chill Out Pop - Chillout Music - Best Chill Songs - Acoustic Chill,SOS - Acoustic Covers Versions,26,149610,False,0.351,0.109,7,-11.997,0,0.0435,0.879,0.0,0.158,0.64,76.851,4,acoustic
